date;crobex
02.09.1997;1118.33
03.09.1997;1117.53
04.09.1997;1138.52
05.09.1997;1123.61
09.09.1997;1125.99
10.09.1997;1158.59
11.09.1997;1166.46
12.09.1997;1169.4
16.09.1997;1183.47
17.09.1997;1176.24
18.09.1997;1210.48
19.09.1997;1218.87
23.09.1997;1214.68
24.09.1997;1221.51
25.09.1997;1216.86
26.09.1997;1212.92
30.09.1997;1225.84
01.10.1997;1211.72
02.10.1997;1203.52
03.10.1997;1205.63
07.10.1997;1207.39
08.10.1997;1204.14
09.10.1997;1200.5
10.10.1997;1188.37
14.10.1997;1186.81
15.10.1997;1167.2
16.10.1997;1143.8
17.10.1997;1140.73
21.10.1997;1117.38
22.10.1997;1141.48
23.10.1997;1109.41
24.10.1997;1116.93
28.10.1997;919.76
29.10.1997;1096.48
30.10.1997;963.23
31.10.1997;980.91
04.11.1997;987.0
05.11.1997;1018.43
06.11.1997;1036.53
07.11.1997;1004.56
11.11.1997;949.74
12.11.1997;908.02
13.11.1997;863.48
14.11.1997;858.57
18.11.1997;927.74
19.11.1997;924.26
20.11.1997;948.72
21.11.1997;966.09
25.11.1997;942.94
26.11.1997;930.97
27.11.1997;932.42
28.11.1997;929.4
02.12.1997;929.56
03.12.1997;918.93
04.12.1997;921.01
05.12.1997;925.76
09.12.1997;942.9
10.12.1997;966.55
11.12.1997;950.52
12.12.1997;939.68
16.12.1997;939.56
17.12.1997;932.77
18.12.1997;932.4
19.12.1997;918.44
23.12.1997;928.9
24.12.1997;930.31
30.12.1997;989.26
31.12.1997;1002.09
02.01.1998;1034.91
07.01.1998;1059.85
08.01.1998;1071.47
09.01.1998;998.06
13.01.1998;971.56
14.01.1998;986.91
15.01.1998;968.63
16.01.1998;966.26
20.01.1998;964.07
21.01.1998;962.94
22.01.1998;954.79
23.01.1998;940.13
27.01.1998;910.01
28.01.1998;900.69
29.01.1998;890.38
30.01.1998;913.86
03.02.1998;939.55
04.02.1998;933.09
05.02.1998;970.49
06.02.1998;997.59
10.02.1998;1003.25
11.02.1998;1003.61
12.02.1998;955.73
13.02.1998;974.3
17.02.1998;990.39
18.02.1998;978.75
19.02.1998;972.35
20.02.1998;963.49
24.02.1998;959.68
25.02.1998;968.18
26.02.1998;988.59
27.02.1998;1025.64
03.03.1998;1066.65
04.03.1998;1047.4
05.03.1998;1018.3
06.03.1998;1040.49
10.03.1998;1027.2
11.03.1998;1011.16
12.03.1998;1009.66
13.03.1998;993.39
17.03.1998;999.82
18.03.1998;991.07
19.03.1998;988.94
20.03.1998;1018.7
24.03.1998;998.59
25.03.1998;1001.51
26.03.1998;1027.05
27.03.1998;1014.07
31.03.1998;1028.38
01.04.1998;1013.1
02.04.1998;1002.42
03.04.1998;1004.67
07.04.1998;1039.03
08.04.1998;1039.66
09.04.1998;1037.73
10.04.1998;1025.55
14.04.1998;1023.06
15.04.1998;1027.55
16.04.1998;997.94
17.04.1998;974.94
21.04.1998;977.47
22.04.1998;1008.56
23.04.1998;985.0
24.04.1998;968.11
28.04.1998;929.24
29.04.1998;922.45
30.04.1998;933.56
05.05.1998;923.86
06.05.1998;925.09
07.05.1998;930.2
08.05.1998;915.59
12.05.1998;925.46
13.05.1998;942.65
14.05.1998;928.91
15.05.1998;921.47
19.05.1998;908.22
20.05.1998;884.88
21.05.1998;874.24
22.05.1998;847.45
26.05.1998;817.62
27.05.1998;820.8
28.05.1998;814.94
29.05.1998;824.81
02.06.1998;810.25
03.06.1998;833.72
04.06.1998;854.59
05.06.1998;872.97
09.06.1998;847.8
10.06.1998;842.6
11.06.1998;824.01
12.06.1998;807.94
16.06.1998;807.67
17.06.1998;816.46
18.06.1998;833.67
19.06.1998;825.03
23.06.1998;832.84
24.06.1998;811.19
25.06.1998;810.69
26.06.1998;808.69
30.06.1998;824.8
01.07.1998;822.89
02.07.1998;823.33
03.07.1998;836.5
07.07.1998;828.97
08.07.1998;822.88
09.07.1998;782.96
10.07.1998;778.14
14.07.1998;793.1
15.07.1998;792.69
16.07.1998;805.95
17.07.1998;808.82
21.07.1998;845.59
22.07.1998;825.97
23.07.1998;810.93
24.07.1998;817.42
28.07.1998;809.02
29.07.1998;777.98
30.07.1998;793.02
31.07.1998;794.0
04.08.1998;785.8
06.08.1998;753.04
07.08.1998;755.01
11.08.1998;712.74
12.08.1998;716.11
13.08.1998;661.09
14.08.1998;666.56
18.08.1998;623.73
19.08.1998;653.41
20.08.1998;651.89
21.08.1998;604.64
25.08.1998;564.79
26.08.1998;505.49
27.08.1998;456.62
28.08.1998;462.84
01.09.1998;431.1
02.09.1998;513.36
03.09.1998;516.28
04.09.1998;526.57
08.09.1998;516.55
09.09.1998;550.32
10.09.1998;530.37
11.09.1998;495.96
15.09.1998;499.29
16.09.1998;504.02
17.09.1998;501.3
18.09.1998;508.47
22.09.1998;521.77
23.09.1998;558.4
24.09.1998;575.72
25.09.1998;548.64
29.09.1998;571.39
30.09.1998;561.09
01.10.1998;529.82
02.10.1998;491.54
06.10.1998;509.4
07.10.1998;495.54
08.10.1998;462.73
09.10.1998;466.65
13.10.1998;496.05
14.10.1998;515.07
15.10.1998;532.95
16.10.1998;533.52
20.10.1998;551.8
21.10.1998;538.52
22.10.1998;547.05
23.10.1998;569.48
27.10.1998;594.26
28.10.1998;590.56
29.10.1998;591.81
30.10.1998;600.87
03.11.1998;616.97
04.11.1998;618.0
05.11.1998;617.43
06.11.1998;605.27
10.11.1998;597.1
11.11.1998;597.46
12.11.1998;583.91
13.11.1998;587.35
17.11.1998;605.43
18.11.1998;613.49
19.11.1998;618.81
20.11.1998;655.34
24.11.1998;689.74
25.11.1998;697.5
26.11.1998;699.55
27.11.1998;705.87
01.12.1998;675.27
02.12.1998;687.43
03.12.1998;681.14
04.12.1998;691.7
08.12.1998;717.38
09.12.1998;710.66
10.12.1998;710.17
11.12.1998;697.52
15.12.1998;695.69
16.12.1998;703.58
17.12.1998;704.16
18.12.1998;723.05
22.12.1998;753.0
23.12.1998;737.95
24.12.1998;733.47
29.12.1998;717.59
30.12.1998;715.77
31.12.1998;711.64
05.01.1999;720.11
07.01.1999;733.99
08.01.1999;753.08
12.01.1999;753.13
13.01.1999;694.16
14.01.1999;709.86
15.01.1999;691.98
19.01.1999;732.14
20.01.1999;771.12
21.01.1999;769.58
22.01.1999;793.88
26.01.1999;762.76
27.01.1999;769.36
28.01.1999;781.92
29.01.1999;772.36
02.02.1999;802.46
03.02.1999;802.07
04.02.1999;802.59
05.02.1999;803.05
09.02.1999;766.05
10.02.1999;765.35
11.02.1999;786.08
12.02.1999;788.89
16.02.1999;794.8
17.02.1999;792.86
18.02.1999;790.8
23.02.1999;786.88
24.02.1999;775.87
25.02.1999;758.4
26.02.1999;731.51
02.03.1999;723.99
03.03.1999;717.7
04.03.1999;728.35
05.03.1999;719.4
09.03.1999;757.39
10.03.1999;764.18
11.03.1999;765.61
12.03.1999;760.26
16.03.1999;758.92
17.03.1999;760.7
18.03.1999;741.43
19.03.1999;745.06
23.03.1999;703.25
24.03.1999;694.5
25.03.1999;697.26
26.03.1999;681.12
30.03.1999;677.83
31.03.1999;709.06
01.04.1999;715.72
02.04.1999;719.47
06.04.1999;766.51
07.04.1999;738.16
08.04.1999;722.22
09.04.1999;716.11
13.04.1999;723.0
14.04.1999;716.17
15.04.1999;716.45
16.04.1999;735.07
20.04.1999;708.01
21.04.1999;689.03
22.04.1999;698.6
23.04.1999;706.72
27.04.1999;693.2
28.04.1999;693.71
29.04.1999;701.66
30.04.1999;708.27
04.05.1999;725.7
05.05.1999;730.95
06.05.1999;769.74
07.05.1999;754.99
11.05.1999;775.37
12.05.1999;774.67
13.05.1999;767.56
14.05.1999;765.06
18.05.1999;734.43
19.05.1999;731.9
20.05.1999;730.6
21.05.1999;737.71
25.05.1999;726.92
26.05.1999;721.52
27.05.1999;744.76
28.05.1999;745.73
31.05.1999;746.24
01.06.1999;744.75
02.06.1999;720.86
03.06.1999;731.91
04.06.1999;726.66
07.06.1999;725.54
08.06.1999;711.62
09.06.1999;714.19
10.06.1999;729.72
11.06.1999;743.03
14.06.1999;737.73
15.06.1999;750.03
16.06.1999;729.08
17.06.1999;723.77
18.06.1999;726.13
21.06.1999;722.5
23.06.1999;722.45
24.06.1999;726.31
25.06.1999;711.01
28.06.1999;710.55
29.06.1999;698.24
30.06.1999;724.62
01.07.1999;723.82
02.07.1999;721.81
05.07.1999;723.7
06.07.1999;727.45
07.07.1999;716.98
08.07.1999;720.22
09.07.1999;711.78
12.07.1999;729.31
13.07.1999;720.09
14.07.1999;713.12
15.07.1999;723.08
16.07.1999;707.13
19.07.1999;717.6
20.07.1999;734.67
21.07.1999;708.77
22.07.1999;709.48
23.07.1999;710.87
26.07.1999;706.78
27.07.1999;691.45
28.07.1999;685.63
29.07.1999;679.83
30.07.1999;681.21
02.08.1999;669.34
03.08.1999;642.09
04.08.1999;657.56
06.08.1999;657.75
09.08.1999;646.61
10.08.1999;648.58
11.08.1999;658.17
12.08.1999;657.75
13.08.1999;663.92
16.08.1999;668.19
17.08.1999;670.86
18.08.1999;674.75
19.08.1999;672.56
20.08.1999;671.45
23.08.1999;670.89
24.08.1999;659.34
25.08.1999;673.98
26.08.1999;663.28
27.08.1999;666.09
30.08.1999;666.37
31.08.1999;658.58
01.09.1999;654.38
02.09.1999;654.41
03.09.1999;649.89
06.09.1999;651.3
07.09.1999;650.26
08.09.1999;650.29
09.09.1999;651.79
10.09.1999;652.5
13.09.1999;647.05
14.09.1999;630.13
15.09.1999;614.63
16.09.1999;579.6
17.09.1999;551.71
20.09.1999;567.43
21.09.1999;572.68
22.09.1999;580.5
23.09.1999;560.59
24.09.1999;515.59
27.09.1999;545.29
28.09.1999;516.72
29.09.1999;511.94
30.09.1999;508.66
01.10.1999;526.07
04.10.1999;529.71
05.10.1999;547.42
06.10.1999;549.78
07.10.1999;549.67
08.10.1999;540.19
11.10.1999;533.74
12.10.1999;538.72
13.10.1999;534.67
14.10.1999;541.25
15.10.1999;540.48
18.10.1999;523.61
19.10.1999;527.74
20.10.1999;527.69
21.10.1999;537.42
22.10.1999;537.84
25.10.1999;541.23
26.10.1999;530.68
27.10.1999;530.8
28.10.1999;542.0
29.10.1999;536.41
02.11.1999;535.48
03.11.1999;534.49
04.11.1999;534.49
05.11.1999;533.05
08.11.1999;533.05
09.11.1999;512.47
10.11.1999;506.42
11.11.1999;503.67
12.11.1999;508.57
15.11.1999;530.17
16.11.1999;532.22
17.11.1999;517.8
18.11.1999;540.55
19.11.1999;549.48
22.11.1999;568.55
23.11.1999;565.44
24.11.1999;604.56
25.11.1999;686.41
26.11.1999;648.58
29.11.1999;623.23
30.11.1999;645.86
01.12.1999;617.69
02.12.1999;658.72
03.12.1999;654.02
06.12.1999;656.84
07.12.1999;664.78
08.12.1999;670.35
09.12.1999;670.94
10.12.1999;667.17
14.12.1999;678.36
15.12.1999;681.36
16.12.1999;665.35
17.12.1999;670.48
20.12.1999;683.94
21.12.1999;691.06
22.12.1999;698.35
23.12.1999;699.5
24.12.1999;710.0
27.12.1999;715.86
28.12.1999;715.54
29.12.1999;717.42
30.12.1999;713.42
31.12.1999;715.31
04.01.2000;750.61
05.01.2000;795.06
07.01.2000;769.08
10.01.2000;803.52
11.01.2000;803.95
12.01.2000;788.96
13.01.2000;797.27
14.01.2000;831.38
17.01.2000;854.61
18.01.2000;833.08
19.01.2000;831.95
20.01.2000;836.13
21.01.2000;837.86
25.01.2000;841.52
26.01.2000;835.75
27.01.2000;827.85
28.01.2000;794.96
31.01.2000;779.3
01.02.2000;812.79
02.02.2000;806.72
03.02.2000;812.0
04.02.2000;804.09
08.02.2000;825.7
09.02.2000;834.7
10.02.2000;846.38
11.02.2000;856.45
14.02.2000;840.56
15.02.2000;847.83
16.02.2000;845.47
17.02.2000;853.85
18.02.2000;846.14
21.02.2000;840.21
22.02.2000;852.5
23.02.2000;841.37
24.02.2000;844.3
25.02.2000;862.53
28.02.2000;848.04
29.02.2000;849.17
01.03.2000;848.65
02.03.2000;843.78
03.03.2000;847.78
06.03.2000;833.35
07.03.2000;824.34
08.03.2000;806.77
09.03.2000;806.09
10.03.2000;828.8
13.03.2000;820.64
14.03.2000;874.32
15.03.2000;918.42
16.03.2000;907.57
17.03.2000;899.07
20.03.2000;888.61
21.03.2000;888.89
22.03.2000;931.74
23.03.2000;940.67
24.03.2000;980.77
27.03.2000;978.29
28.03.2000;954.72
29.03.2000;945.14
30.03.2000;927.6
31.03.2000;952.29
03.04.2000;926.16
04.04.2000;912.44
05.04.2000;915.18
06.04.2000;878.85
07.04.2000;881.59
10.04.2000;889.21
11.04.2000;882.53
12.04.2000;863.07
13.04.2000;856.98
14.04.2000;863.44
17.04.2000;815.6
18.04.2000;848.1
19.04.2000;834.4
20.04.2000;841.46
25.04.2000;854.16
26.04.2000;845.78
27.04.2000;835.63
28.04.2000;834.49
02.05.2000;825.3
03.05.2000;825.94
04.05.2000;816.07
05.05.2000;797.63
08.05.2000;783.96
09.05.2000;786.38
10.05.2000;781.29
11.05.2000;780.79
12.05.2000;797.6
15.05.2000;831.91
16.05.2000;880.15
17.05.2000;896.01
18.05.2000;903.51
19.05.2000;925.73
22.05.2000;890.05
23.05.2000;859.43
24.05.2000;853.9
25.05.2000;864.19
26.05.2000;877.85
29.05.2000;882.93
31.05.2000;876.84
01.06.2000;879.6
02.06.2000;889.1
05.06.2000;879.84
06.06.2000;880.7
07.06.2000;879.5
08.06.2000;917.22
09.06.2000;923.72
12.06.2000;931.12
13.06.2000;891.56
14.06.2000;887.59
15.06.2000;879.3
16.06.2000;876.74
19.06.2000;859.5
20.06.2000;871.41
21.06.2000;883.35
23.06.2000;878.99
26.06.2000;883.96
27.06.2000;860.69
28.06.2000;843.63
29.06.2000;835.61
30.06.2000;834.69
03.07.2000;850.25
04.07.2000;854.9
05.07.2000;860.83
06.07.2000;855.84
07.07.2000;862.21
10.07.2000;843.37
11.07.2000;834.7
12.07.2000;825.18
13.07.2000;817.17
14.07.2000;819.61
17.07.2000;825.83
18.07.2000;824.99
19.07.2000;828.94
20.07.2000;825.35
21.07.2000;809.69
24.07.2000;808.47
25.07.2000;800.95
26.07.2000;792.41
27.07.2000;801.8
28.07.2000;796.58
31.07.2000;792.54
01.08.2000;792.9
02.08.2000;795.75
03.08.2000;779.97
04.08.2000;798.5
07.08.2000;786.99
08.08.2000;764.59
09.08.2000;773.97
10.08.2000;771.37
11.08.2000;769.36
14.08.2000;778.63
16.08.2000;792.45
17.08.2000;805.08
18.08.2000;784.75
21.08.2000;785.22
22.08.2000;815.22
23.08.2000;837.72
24.08.2000;831.14
25.08.2000;833.77
28.08.2000;836.37
29.08.2000;824.81
30.08.2000;829.79
31.08.2000;829.14
01.09.2000;856.18
04.09.2000;858.79
05.09.2000;857.61
06.09.2000;856.81
07.09.2000;855.89
08.09.2000;865.95
11.09.2000;855.18
12.09.2000;856.8
13.09.2000;846.39
14.09.2000;839.56
15.09.2000;830.83
18.09.2000;834.57
19.09.2000;835.88
20.09.2000;841.13
21.09.2000;844.92
22.09.2000;822.26
25.09.2000;816.17
26.09.2000;811.44
27.09.2000;813.01
28.09.2000;810.76
29.09.2000;823.68
02.10.2000;816.62
03.10.2000;825.91
04.10.2000;814.68
05.10.2000;810.53
06.10.2000;826.49
09.10.2000;840.51
10.10.2000;838.84
11.10.2000;830.52
12.10.2000;824.19
13.10.2000;812.0
16.10.2000;821.15
17.10.2000;823.52
18.10.2000;793.8
19.10.2000;821.23
20.10.2000;834.46
23.10.2000;839.65
24.10.2000;837.83
25.10.2000;844.5
26.10.2000;851.82
27.10.2000;858.19
30.10.2000;849.08
31.10.2000;849.83
02.11.2000;849.97
03.11.2000;847.0
06.11.2000;856.54
07.11.2000;865.26
08.11.2000;876.17
09.11.2000;884.2
10.11.2000;873.75
13.11.2000;872.12
14.11.2000;918.52
15.11.2000;927.19
16.11.2000;924.48
17.11.2000;928.79
20.11.2000;925.97
21.11.2000;925.39
22.11.2000;925.1
23.11.2000;929.08
24.11.2000;930.76
27.11.2000;924.83
28.11.2000;923.12
29.11.2000;916.61
30.11.2000;904.82
01.12.2000;900.46
04.12.2000;907.1
05.12.2000;912.55
07.12.2000;889.52
08.12.2000;891.76
11.12.2000;894.64
12.12.2000;901.19
13.12.2000;899.52
14.12.2000;898.07
15.12.2000;898.37
18.12.2000;900.4
19.12.2000;901.91
20.12.2000;899.89
21.12.2000;880.58
22.12.2000;874.45
27.12.2000;872.93
28.12.2000;872.8
29.12.2000;890.01
02.01.2001;865.71
03.01.2001;848.26
04.01.2001;864.58
05.01.2001;875.58
08.01.2001;877.33
09.01.2001;877.65
10.01.2001;882.31
11.01.2001;879.79
12.01.2001;889.78
15.01.2001;896.83
16.01.2001;880.96
17.01.2001;890.45
18.01.2001;892.72
19.01.2001;888.0
22.01.2001;879.04
23.01.2001;881.25
24.01.2001;884.82
25.01.2001;888.45
26.01.2001;888.46
29.01.2001;895.45
30.01.2001;885.22
31.01.2001;887.05
01.02.2001;879.7
02.02.2001;893.74
05.02.2001;898.77
06.02.2001;894.18
07.02.2001;896.5
08.02.2001;921.18
09.02.2001;929.52
12.02.2001;915.03
13.02.2001;929.82
14.02.2001;931.61
15.02.2001;929.05
16.02.2001;934.34
19.02.2001;948.03
20.02.2001;955.96
21.02.2001;954.12
22.02.2001;946.36
23.02.2001;958.79
26.02.2001;950.08
27.02.2001;947.32
28.02.2001;961.81
01.03.2001;966.23
02.03.2001;976.4
05.03.2001;1000.36
06.03.2001;995.44
07.03.2001;976.12
08.03.2001;979.28
09.03.2001;945.91
12.03.2001;943.95
13.03.2001;925.08
14.03.2001;916.06
15.03.2001;962.77
16.03.2001;955.07
19.03.2001;952.85
20.03.2001;945.76
21.03.2001;942.8
22.03.2001;923.21
23.03.2001;920.59
26.03.2001;942.24
27.03.2001;934.27
28.03.2001;934.08
29.03.2001;939.16
30.03.2001;934.56
02.04.2001;930.22
03.04.2001;935.65
04.04.2001;942.64
05.04.2001;939.8
06.04.2001;930.81
09.04.2001;940.11
10.04.2001;941.73
11.04.2001;938.24
12.04.2001;945.75
13.04.2001;945.48
17.04.2001;950.98
18.04.2001;963.68
19.04.2001;980.96
20.04.2001;971.43
23.04.2001;956.91
24.04.2001;944.88
25.04.2001;954.93
26.04.2001;964.22
27.04.2001;952.06
30.04.2001;980.97
02.05.2001;983.83
03.05.2001;984.61
04.05.2001;985.91
07.05.2001;983.66
08.05.2001;984.38
09.05.2001;985.77
10.05.2001;980.6
11.05.2001;991.05
14.05.2001;967.95
15.05.2001;952.17
16.05.2001;928.93
